Timestamp	Quat_w	Quat_x	Quat_y	Quat_z	Acc_x	Acc_y	Acc_z	Gyro_x	Gyro_y	Gyro_z
2.33	10711	-308	-12394	91	2025	-67	-303	0	-1	-1
2.34	10711	-307	-12394	91	2023	-60	-292	-2	-1	4
2.35	10711	-307	-12394	91	2027	-61	-283	-2	-1	-4
2.36	10711	-307	-12394	91	2026	-63	-311	-2	0	4
2.37	10711	-307	-12394	90	2023	-61	-290	-2	1	-3
2.38	10711	-307	-12394	90	2028	-69	-299	0	1	2
2.39	10711	-307	-12394	91	2018	-71	-302	-2	-1	1
2.4	10711	-307	-12394	90	2025	-61	-299	-1	0	-3
2.41	10711	-307	-12394	90	2030	-60	-295	-1	-1	4
2.42	10711	-307	-12394	90	2018	-57	-306	0	-2	-4
2.43	10710	-307	-12395	90	2031	-60	-316	-1	0	6
2.44	10710	-307	-12395	90	2028	-68	-302	-2	0	-2
2.45	10710	-307	-12395	90	2015	-61	-301	-1	0	2
2.46	10710	-307	-12395	90	2024	-68	-299	-1	-1	0
2.47	10710	-306	-12395	90	2027	-60	-301	-1	-1	-3
2.48	10710	-306	-12395	90	2023	-57	-302	-1	1	4
2.49	10710	-306	-12395	89	2027	-62	-302	-3	0	-4
2.5	10710	-306	-12395	89	2019	-59	-293	-4	1	5
2.51	10710	-306	-12395	89	2027	-73	-303	-2	0	-3
2.52	10710	-306	-12395	89	2025	-66	-313	0	-1	1
2.53	10710	-306	-12395	89	2021	-64	-310	0	0	0
2.54	10709	-306	-12396	89	2029	-55	-315	1	0	-3
2.55	10709	-306	-12396	89	2022	-61	-306	-1	0	3
2.56	10709	-306	-12396	89	2020	-71	-294	-1	1	-5
2.57	10709	-306	-12395	89	2030	-69	-290	0	-1	2
2.58	10709	-306	-12396	89	2025	-72	-306	-1	0	-5
2.59	10709	-306	-12396	89	2029	-62	-305	-1	0	2
2.6	10709	-306	-12396	89	2022	-66	-295	1	-2	-1
2.61	10709	-306	-12395	89	2030	-70	-292	0	0	-3
2.62	10709	-306	-12395	89	2018	-63	-294	0	-1	3
2.63	10709	-306	-12395	89	2028	-57	-297	-1	-1	-5
2.64	10709	-306	-12395	89	2021	-60	-302	-1	-1	4
2.65	10709	-305	-12396	88	2020	-59	-306	-1	0	-5
2.66	10709	-305	-12396	88	2024	-66	-296	1	-1	3
2.67	10707	-300	-12397	83	2031	-57	-296	0	2	0
2.68	10707	-300	-12397	83	2025	-67	-304	-1	-2	-2
2.69	10707	-300	-12397	83	2017	-59	-301	1	2	0
2.7	10707	-301	-12397	83	2028	-73	-302	-1	2	-3
2.71	10707	-301	-12397	83	2023	-71	-299	1	-3	1
2.72	10707	-300	-12398	83	2020	-58	-303	1	-1	-4
2.73	10707	-300	-12397	83	2029	-66	-297	-1	-2	1
2.74	10707	-300	-12398	83	2030	-56	-304	-2	2	-1
2.75	10707	-300	-12397	82	2022	-63	-294	0	-2	-2
2.76	10707	-300	-12398	82	2024	-66	-306	-2	-2	1
2.77	10707	-300	-12397	82	2022	-62	-289	-1	1	-4
2.78	10707	-300	-12397	83	2023	-71	-300	0	-2	1
2.79	10707	-300	-12397	82	2025	-54	-285	-1	2	-2
2.8	10707	-300	-12397	82	2023	-70	-306	1	0	2
2.81	10708	-300	-12397	82	2027	-66	-289	-1	-2	-4
2.82	10708	-300	-12397	83	2026	-69	-287	-1	-2	1
2.83	10708	-300	-12397	82	2023	-60	-295	-1	-2	-3
2.84	10708	-300	-12397	82	2025	-52	-305	0	0	-4
2.85	10708	-300	-12397	82	2025	-58	-301	1	-1	3
2.86	10708	-300	-12397	82	2024	-65	-284	-2	-1	-5
2.87	10708	-300	-12397	82	2025	-72	-308	0	1	4
2.88	10708	-300	-12397	82	2030	-68	-290	-1	-3	-5
2.89	10708	-300	-12397	82	2025	-61	-290	-1	0	1
2.9	10708	-300	-12396	82	2016	-70	-284	0	-1	-1
2.91	10708	-300	-12396	82	2025	-60	-295	1	-1	-2
2.92	10709	-300	-12396	82	2031	-66	-287	-2	0	4
2.93	10708	-300	-12396	82	2019	-63	-306	-1	-2	-6
2.94	10709	-300	-12396	82	2026	-56	-297	0	0	5
2.95	10709	-300	-12396	82	2021	-68	-286	-1	-1	-3
2.96	10709	-300	-12396	82	2022	-69	-311	-1	-1	3
2.97	10708	-300	-12396	82	2027	-66	-300	-1	-1	1
2.98	10709	-300	-12396	82	2025	-61	-289	-1	-1	-4
2.99	10709	-300	-12396	82	2023	-66	-302	-1	1	3
3	10709	-300	-12396	82	2028	-59	-298	-1	-1	-2
3.01	10709	-300	-12396	82	2026	-64	-302	1	-1	3
3.02	10709	-300	-12396	82	2029	-63	-297	-2	0	-4
3.03	10709	-300	-12396	82	2021	-61	-297	-1	-1	3
3.04	10709	-300	-12396	82	2032	-73	-303	0	2	1
3.05	10708	-300	-12396	82	2029	-61	-309	-1	-4	-5
3.06	10708	-300	-12396	82	2020	-71	-298	0	2	4
3.07	10708	-300	-12396	82	2018	-67	-302	0	-1	-5
3.08	10708	-300	-12397	82	2028	-61	-309	0	-1	3
3.09	10708	-300	-12397	82	2020	-68	-300	0	2	1
3.1	10708	-300	-12397	82	2028	-58	-296	-1	-4	-1
3.11	10708	-300	-12397	82	2022	-57	-298	0	0	0
3.12	10708	-300	-12397	82	2024	-63	-302	0	0	-1
3.13	10708	-300	-12397	82	2031	-57	-295	-1	1	2
3.14	10708	-300	-12397	82	2026	-67	-304	1	2	-2
3.15	10708	-300	-12396	82	2024	-65	-282	0	-2	3
3.16	10708	-299	-12397	81	2022	-55	-304	1	1	-4
3.17	10708	-299	-12396	82	2031	-70	-295	1	-2	2
3.18	10708	-299	-12396	81	2028	-59	-295	-1	-2	1
3.19	10708	-299	-12396	81	2022	-63	-301	0	0	-1
3.2	10708	-299	-12396	81	2031	-59	-298	1	-1	3
3.21	10709	-299	-12396	81	2025	-66	-294	-1	-1	-4
3.22	10708	-299	-12396	81	2026	-66	-304	1	0	3
3.23	10708	-299	-12396	81	2025	-61	-300	-3	-1	-4
3.24	10708	-299	-12397	81	2025	-65	-308	1	-1	4
3.25	10708	-299	-12397	81	2018	-65	-299	1	0	-2
3.26	10708	-299	-12397	81	2020	-62	-297	1	0	0
3.27	10708	-299	-12397	81	2027	-53	-315	-1	-1	1
3.28	10708	-299	-12397	81	2028	-61	-279	0	0	-1
3.29	10682	-538	-12411	-130	2018	-64	-275	-20	-3	-34
3.3	10681	-538	-12411	-130	2023	-54	-341	9	-13	7
3.31	10685	-542	-12408	-129	2024	-83	-305	-15	24	12
3.32	10679	-537	-12413	-129	2022	-62	-319	18	-35	-20
3.33	10684	-540	-12409	-129	2024	-64	-304	-9	31	11
3.34	10684	-540	-12409	-129	2017	-68	-295	10	-16	-2
3.35	10684	-540	-12409	-129	2019	-52	-322	-6	0	-13
3.36	10685	-543	-12408	-125	2022	-72	-301	5	7	22
3.37	10683	-540	-12409	-128	2021	-70	-311	-4	-11	-25
3.38	10685	-542	-12408	-126	2023	-61	-296	2	7	16
3.39	10685	-542	-12408	-126	2025	-67	-303	1	-2	-5
3.4	10685	-542	-12408	-126	2026	-51	-319	1	-8	-5
3.41	10685	-542	-12408	-126	2023	-68	-305	-1	11	12
3.42	10685	-542	-12408	-126	2032	-63	-304	2	-12	-15
3.43	10685	-542	-12408	-126	2027	-72	-306	1	3	8
3.44	10685	-542	-12408	-126	2029	-76	-294	-1	0	-5
3.45	10685	-542	-12408	-126	2024	-63	-315	1	-8	-3
3.46	10685	-542	-12408	-126	2025	-64	-299	0	9	5
3.47	10685	-542	-12408	-126	2026	-64	-309	3	-9	-6
3.48	10685	-542	-12408	-126	2024	-65	-311	-2	4	3
3.49	10685	-542	-12408	-126	2027	-69	-297	2	-1	-2
3.5	10685	-542	-12408	-126	2019	-67	-304	-1	-4	-2
3.51	10685	-542	-12408	-126	2029	-71	-318	1	3	2
3.52	10685	-542	-12408	-126	2024	-62	-302	-1	-3	-2
3.53	10685	-542	-12408	-126	2020	-63	-307	1	1	1
3.54	10685	-542	-12408	-126	2026	-69	-297	-1	1	-1
3.55	10685	-542	-12408	-126	2027	-61	-312	2	-5	-1
3.56	10685	-542	-12408	-126	2021	-68	-315	0	4	1
3.57	10685	-542	-12408	-126	2026	-72	-316	2	-5	1
3.58	10685	-542	-12408	-126	2021	-58	-304	-1	3	-4
3.59	10685	-542	-12408	-126	2019	-64	-304	1	0	4
3.6	10685	-542	-12408	-126	2020	-56	-311	0	-2	-6
3.61	10685	-542	-12408	-126	2028	-66	-302	1	1	4
3.62	10685	-542	-12408	-126	2023	-61	-305	-1	-1	0
3.63	10685	-542	-12408	-126	2027	-63	-305	0	2	-2
3.64	10685	-542	-12408	-126	2020	-68	-303	2	2	3
3.65	10685	-542	-12408	-126	2023	-65	-311	1	-2	-6
3.66	10685	-542	-12408	-126	2025	-63	-297	0	0	4
3.67	10685	-542	-12408	-126	2026	-62	-305	0	-1	-2
3.68	10685	-542	-12408	-126	2029	-57	-307	0	1	3
3.69	10685	-542	-12408	-126	2034	-68	-300	0	-1	2
3.7	10685	-542	-12408	-126	2028	-61	-304	0	-2	-4
3.71	10685	-542	-12408	-126	2024	-62	-303	-1	1	3
3.72	10685	-542	-12408	-127	2029	-63	-316	0	-2	-6
3.73	10685	-542	-12408	-127	2022	-63	-318	0	1	3
3.74	10685	-542	-12408	-126	2024	-73	-322	1	0	-2
3.75	10685	-542	-12408	-126	2026	-65	-302	0	-1	0
3.76	10685	-542	-12408	-126	2023	-68	-310	0	0	1
3.77	10685	-542	-12408	-126	2016	-66	-297	0	0	-3
3.78	10685	-542	-12408	-126	2020	-65	-308	1	-1	2
3.79	10685	-542	-12408	-126	2025	-62	-309	0	1	-4
3.8	10685	-542	-12408	-126	2030	-68	-317	0	-1	5
3.81	10685	-542	-12408	-126	2026	-63	-314	-1	0	-3
3.82	10685	-542	-12408	-126	2028	-72	-303	2	-1	3
3.83	10685	-542	-12408	-126	2026	-56	-301	0	0	-2
3.84	10685	-542	-12408	-126	2024	-73	-310	1	0	-2
3.85	10684	-542	-12409	-126	2018	-65	-320	1	0	2
3.86	10684	-542	-12409	-126	2029	-66	-311	-1	0	-3
3.87	10684	-542	-12409	-126	2025	-65	-303	1	-1	3
3.88	10684	-542	-12409	-126	2027	-63	-318	0	0	-5
3.89	10684	-542	-12409	-126	2022	-62	-306	-1	-1	2
3.9	10684	-542	-12409	-126	2026	-68	-299	0	0	-1
3.91	10684	-542	-12409	-126	2022	-61	-305	0	1	-2
3.92	10684	-542	-12409	-126	2024	-70	-320	0	-1	2
3.93	10684	-542	-12409	-126	2021	-60	-304	-1	0	4
3.94	10684	-542	-12409	-126	2021	-68	-307	-1	0	-3
3.95	10684	-542	-12409	-126	2022	-57	-320	0	-1	2
3.96	10684	-542	-12409	-126	2026	-67	-305	0	-1	-2
3.97	10684	-542	-12409	-126	2017	-66	-299	0	0	-2
3.98	10684	-542	-12409	-126	2031	-58	-299	-2	-1	4
3.99	10684	-542	-12409	-126	2021	-68	-320	-1	0	-6
4	10684	-542	-12409	-126	2022	-70	-309	-1	0	4
4.01	10684	-542	-12409	-126	2018	-57	-310	-1	0	-4
4.02	10684	-542	-12409	-126	2026	-63	-313	-1	0	1
4.03	10684	-542	-12409	-126	2021	-63	-295	0	-1	-2
4.04	10684	-542	-12409	-126	2025	-65	-300	0	0	-1
4.05	10684	-542	-12409	-126	2024	-67	-321	-1	-2	2
4.06	10684	-542	-12409	-126	2025	-67	-301	-2	1	-6
4.07	10684	-542	-12409	-126	2019	-66	-299	-1	-1	4
4.08	10684	-542	-12409	-126	2021	-69	-301	-1	0	-4
4.09	10684	-542	-12409	-126	2031	-66	-305	-1	-2	3
4.1	10684	-542	-12409	-126	2011	-65	-305	0	1	-1
4.11	10684	-542	-12409	-126	2025	-69	-322	0	0	-1
4.12	10684	-542	-12409	-126	2029	-70	-306	-1	0	2
4.13	10684	-542	-12409	-126	2019	-70	-300	-1	2	-5
4.14	10684	-542	-12409	-126	2027	-67	-316	-2	1	2
4.15	10684	-542	-12409	-126	2029	-62	-300	-3	0	-3
4.16	10684	-542	-12409	-126	2031	-68	-305	-1	-1	3
4.17	10684	-542	-12409	-126	2020	-65	-312	-1	-1	-1
4.18	10684	-542	-12409	-126	2033	-67	-312	-1	0	-2
4.19	10684	-542	-12409	-126	2025	-62	-307	-2	-1	3
4.2	10684	-542	-12409	-126	2018	-62	-308	-2	-1	-4
4.21	10684	-542	-12409	-126	2028	-64	-300	-2	-1	5
